# 뭐라고 M0 스파이크 케이스
# 한글음차	정답읽기(가나)	정답표기	난이도태그	사전형표기(활용형일 때)
다이죠부	だいじょうぶ	大丈夫	장음,탁음모호
아리가토	ありがとう	ありがとう	장음
스고이	すごい	凄い	기본
간바레	がんばれ	頑張れ	발음,탁음모호
야메로	やめろ	やめろ	기본	止める
오네가이	おねがい	お願い	기본
센빠이	せんぱい	先輩	발음,경음
잇쇼니	いっしょに	一緒に	촉음,요음
시카타나이	しかたない	仕方ない	기본
우루사이	うるさい	うるさい	기본
바카야로	ばかやろう	馬鹿野郎	장음,탁음모호
오모시로이	おもしろい	面白い	기본
츠카레타	つかれた	疲れた	つ
키모치	きもち	気持ち	기본
나츠카시이	なつかしい	懐かしい	つ,장모음
요캇타	よかった	良かった	촉음	良い
마지데	まじで	マジで	탁음모호	マジ
젠젠	ぜんぜん	全然	발음,탁음모호
야바이	やばい	やばい	탁음모호
다마레	だまれ	黙れ	탁음모호	黙る
오하요	おはよう	おはよう	장음
코와이	こわい	怖い	기본
사이코	さいこう	最高	장음
무리	むり	無理	기본
혼토니	ほんとうに	本当に	발음,장음
치가우	ちがう	違う	탁음모호
다케도	だけど	だけど	탁음모호
소로소로	そろそろ	そろそろ	기본
키에로	きえろ	消えろ	기본	消える
이타이	いたい	痛い	기본
하즈카시이	はずかしい	恥ずかしい	장모음,ず
아부나이	あぶない	危ない	탁음모호
타노시이	たのしい	楽しい	장모음
사비시이	さびしい	寂しい	장모음
우레시이	うれしい	嬉しい	장모음
코노야로	このやろう	この野郎	장음
야쿠소쿠	やくそく	約束	기본
나카마	なかま	仲間	기본
시아와세	しあわせ	幸せ	기본
카나시이	かなしい	悲しい	장모음
다이스키	だいすき	大好き	탁음모호
우소츠키	うそつき	嘘つき	つ
젯타이	ぜったい	絶対	촉음,탁음모호
츠기	つぎ	次	つ
이소게	いそげ	急げ	기본	急ぐ
오소이	おそい	遅い	기본
마모루	まもる	守る	기본
타스케테	たすけて	助けて	기본
오보에테로	おぼえてろ	覚えてろ	기본
키오츠케테	きをつけて	気をつけて	조사を,つ
